AirlineCD,AirlineIATACD,AirlineName
AAR,OZ,アシアナ航空
ABL,BX,エアプサン
ADO,HD,AIRDO
AIQ,FD,タイエアアジア
ANA,NH,全日本空輸
APJ,MM,PeachAviation
ASV,RS,エアソウル
AZA,AZ,アリタリア航空
CAL,CI,中華航空
CBJ,JD,北京首都航空
CCA,CA,中国国際航空
CDG,SC,山東航空
CEB,5J,セブ・パシフィック航空
CES,MU,中国東方航空
CHH,HU,海南航空
CPA,CX,キャセイパシフィック航空
CQH,9C,春秋航空
CRK,HX,香港航空
CSC,3U,四川航空
CSN,CZ,中国南方航空
CSZ,ZH,深圳航空
CXA,MF,厦門航空
DKH,HO,上海吉祥航空
EOK,RF,エアロK
ESR,ZE,イースター航空
EVA,BR,エバー航空
FDA,JH,フジドリームエアラインズ
FIN,AY,フィンエアー
GCR,GS,天津航空
GIA,GA,ガルーダインドネシア航空
H00,H0,国際貨物
HAL,HA,ハワイアン航空
HGB,HB,グレーター・ベイ航空
HVN,VN,ベトナム航空
IBX,FW,アイベックスエアラインズ
JAL,JL,日本航空
JJA,7C,チェジュ航空
JJP,GK,ジェットスター・ジャパン
JNA,LJ,ジンエアー
KAL,KE,大韓航空
MAS,MH,マレーシア航空
MXD,OD,バティックエアー マレーシア
NCA,KZ,日本貨物航空
NCT,XW,ノックスクート
OKA,BK,奥凱航空
PAL,PR,フィリピン航空
QFA,QF,カンタス航空
SCO,TZ,スクート
SHU,HZ,オーロラ航空
SIA,SQ,シンガポール航空
SJO,IJ,スプリング・ジャパン
SJX,JX,スターラックス航空
SKY,BC,スカイマーク
SNJ,6J,ソラシドエア
SVR,U6,ウラル航空
TAX,XJ,タイ・エアアジアX
TGW,TR,スクート
THA,TG,タイ国際航空
TLM,SL,タイライオンエア
TTW,IT,タイガーエア台湾
TVJ,VZ,タイ・ベトジェットエア
TWB,TW,ティーウェイ航空
UAL,UA,ユナイテッド航空
UZB,HY,ウズベキスタン航空
VJC,VJ,ベトジェットエア
VNL,JW,バニラ・エア
WAJ,DJ,エアアジア・ジャパン
XAX,D7,エアアジアX
