AirportAlias,AirportCD
AKJ,AKJ
旭川,AKJ
AMS,AMS
アムステルダム,AMS
ANC,ANC
アンカレッジ,ANC
AOJ,AOJ
青森,AOJ
ASJ,ASJ
奄美,ASJ
AXT,AXT
秋田,AXT
BKK,BKK
スワンナプーム,BKK
バンコク,BKK
ﾊﾞﾝｺｸ(ｽﾜﾝｱﾌﾟﾑ),BKK
ﾊﾞﾝｺｸ(ｽﾜﾝｱﾌﾟﾑ）,BKK
バンコク（スワンナプーム）,BKK
バンコク（スワンナプーム),BKK
バンコク(スワンナプーム),BKK
バンコク(スワンナプーム）,BKK
BOS,BOS
ボストン,BOS
CAN,CAN
広州,CAN
CHN,CHN
全州,CHN
CJJ,CJJ
清州,CJJ
CNX,CNX
チェンマイ,CNX
CSX,CSX
長沙,CSX
CGK,CGK
スカルノ・ハッタ,CGK
ジャカルタ,CGK
CTS,CTS
札幌(新千歳),CTS
札幌(新千歳）,CTS
札幌（新千歳）,CTS
札幌（新千歳),CTS
札幌(千歳）,CTS
札幌(千歳),CTS
札幌（千歳）,CTS
札幌（千歳),CTS
新千歳,CTS
千歳,CTS
札幌,CTS
CTU,CTU
成都（双流）,CTU
成都双流,CTU
CVG,CVG
シンシナティ,CVG
DAD,DAD
ダナン,DAD
DEN,DEN
デンバー,DEN
DPS,DPS
ングラ・ライ,DPS
デンパサール,DPS
バリ,DPS
DFW,DFW
ダラスフォートワース,DFW
DLC,DLC
大連,DLC
DMK,DMK
ドムンアン,DMK
バンコク(ドムンアン),DMK
バンコク(ドムンアン）,DMK
バンコク（ドムンアン),DMK
バンコク（ドムンアン）,DMK
ﾊﾞﾝｺｸ(ﾄﾞﾝﾑｱﾝ),DMK
ﾊﾞﾝｺｸ(ﾄﾞﾝﾑｱﾝ）,DMK
FCO,FCO
フィウミチーノ,FCO
FRA,FRA
フランクフルト,FRA
FKJ,FKJ
福井,FKJ
FKS,FKS
福島,FKS
FOC,FOC
福州,FOC
FSZ,FSZ
静岡,FSZ
FUJ,FUJ
福江,FUJ
FUK,FUK
福岡,FUK
GAJ,GAJ
山形,GAJ
GMP,GMP
金浦,GMP
ソウル(金浦),GMP
ソウル(金浦）,GMP
ソウル（金浦）,GMP
ソウル（金浦),GMP
GUM,GUM
グァム,GUM
グアム,GUM
HAN,HAN
ノイバイ,HAN
HEL,HEL
ヘルシンキ,HEL
HGH,HGH
杭州,HGH
HHE,HHE
八戸,HHE
HIJ,HIJ
広島,HIJ
HKD,HKD
