AirportCD,AirportICAOCD,AirportName,Country,Region,CityAirportName,Clasification
AKJ,RJEC,旭川,日本,その他,旭川(AKJ),国内
AOJ,RJSA,青森,日本,青森,青森(AOJ),国内
ASJ,RJKA,奄美,日本,その他,奄美(ASJ),国内
AXT,RJSK,秋田,日本,秋田,秋田(AXT),国内
CTS,RJCC,新千歳,日本,新千歳,札幌/新千歳(CTS),国内
FKJ,RJNF,福井,日本,その他,福井(FKJ),国内
FKS,RJSF,福島,日本,福島,福島(FKS),国内
FSZ,RJNS,静岡,日本,静岡,静岡(FSZ),国内
FUJ,RJFE,福江,日本,その他,福江島(FUJ),国内
FUK,RJFF,福岡,日本,福岡,福岡(FUK),国内
GAJ,RJSC,山形,日本,山形,山形(GAJ),国内
HIJ,RJOA,広島,日本,広島,広島(HIJ),国内
HKD,RJCH,函館,日本,函館,函館(HKD),国内
HNA,RJSI,花巻,日本,花巻,花巻(HNA),国内
HND,RJTT,東京,日本,東京,東京/羽田(HND),国内
HSG,RJFS,佐賀,日本,その他,佐賀(HSG),国内
IBR,RJAH,茨城,日本,茨城,茨城(IBR),国内
IKI,RJDB,壱岐,日本,その他,壱岐(IKI),国内
ISG,ROIG,石垣,日本,その他,石垣島(ISG),国内
ITM,RJOO,大阪,日本,大阪,大阪/伊丹(ITM),国内
IWJ,RJOW,石見,日本,その他,石見(IWJ),国内
IWK,RJOI,岩国,日本,その他,岩国(IWK),国内
IZO,RJOC,出雲,日本,出雲,出雲(IZO),国内
KCZ,RJOK,高知,日本,その他,高知(KCZ),国内
KIJ,RJSN,新潟,日本,新潟,新潟(KIJ),国内
KIX,RJBB,関西,日本,関西,大阪/関西(KIX),国内
KKJ,RJFR,北九州,日本,その他,北九州(KKJ),国内
KMI,RJFM,宮崎,日本,その他,宮崎(KMI),国内
KMJ,RJFT,熊本,日本,その他,熊本(KMJ),国内
KMQ,RJNK,小松,日本,小松,小松(KMQ),国内
KOJ,RJFK,鹿児島,日本,その他,鹿児島(KOJ),国内
KUH,RJCK,釧路,日本,釧路,釧路(KUH),国内
MBE,RJEB,紋別,日本,その他,紋別(MBE),国内
MMB,RJCM,女満別,日本,女満別,女満別/網走(MMB),国内
MMJ,RJAF,松本,日本,松本,松本(MMJ),国内
MMY,ROMY,宮古,日本,その他,宮古(MMY),国内
MSJ,RJSM,三沢,日本,その他,三沢(MSJ),国内
MYJ,RJOM,松山,日本,松山,松山(MYJ),国内
NGO,RJGG,中部,日本,中部,名古屋/中部(NGO),国内
NGS,RJFU,長崎,日本,その他,長崎(NGS),国内
NKM,RJNA,小牧,日本,その他,名古屋/小牧(NKM),国内
NRT,RJAA,成田,日本,成田,東京/成田(NRT),国内
NTQ,RJNW,能登,日本,その他,穴水(NTQ),国内
OBO,RJCB,帯広,日本,その他,帯広(OBO),国内
OIR,RJEO,奥尻,日本,奥尻,奥尻(OIR),国内
OIT,RJFO,大分,日本,その他,大分(OIT),国内
