AirlineCD,AirportOffice,RouteAlias,RouteCD,Counter
AAR,AKJ,AKJICN,AKJICN,ICN
AAR,AKJ,ICNAKJ,ICNAKJ,ICN
AAR,AKJ,ICN,ICNAKJ,ICN
AAR,AKJ,仁川,ICNAKJ,ICN
ADO,AKJ,AKJHND,AKJHND,HND
ADO,AKJ,HND,AKJHND,HND
ADO,AKJ,HNDAKJ,HNDAKJ,HND
ADO,AKJ,羽田,HNDAKJ,HND
ADO,AKJ,東京,HNDAKJ,HND
ADO,AKJ,東京（羽田）,HNDAKJ,HND
ANA,AKJ,AKJHND,AKJHND,HND
ANA,AKJ,HND,HNDAKJ,HND
ANA,AKJ,HNDAKJ,HNDAKJ,HND
ANA,AKJ,羽田,HNDAKJ,HND
ANA,AKJ,東京,HNDAKJ,HND
ANA,AKJ,東京（羽田）,HNDAKJ,HND
ANA,AKJ,AKJNGO,AKJNGO,NGO
ANA,AKJ,NGO,AKJNGO,NGO
ANA,AKJ,NGOAKJ,NGOAKJ,NGO
ANA,AKJ,中部,NGOAKJ,NGO
ANA,AKJ,名古屋,NGOAKJ,NGO
DKH,AKJ,AKJPVG,AKJPVG,PVG
DKH,AKJ,PVGAKJ,PVGAKJ,PVG
DKH,AKJ,PVG,PVGAKJ,PVG
DKH,AKJ,上海,PVGAKJ,PVG
EVA,AKJ,AKJTPE,AKJTPE,TPE
EVA,AKJ,TPEAKJ,TPEAKJ,TPE
EVA,AKJ,TPE,TPEAKJ,TPE
EVA,AKJ,台北,TPEAKJ,TPE
JAL,AKJ,AKJHND,AKJHND,HND
JAL,AKJ,HND,AKJHND,HND
JAL,AKJ,HNDAKJ,HNDAKJ,HND
JAL,AKJ,羽田,HNDAKJ,HND
JAL,AKJ,東京,HNDAKJ,HND
JAL,AKJ,東京（羽田）,HNDAKJ,HND
JAL,AKJ,AKJITM,AKJITM,ITM
JAL,AKJ,ITM,ITMAKJ,ITM
JAL,AKJ,ITMAKJ,ITMAKJ,ITM
JAL,AKJ,伊丹,ITMAKJ,ITM
JAL,AKJ,札幌=伊丹,ITMAKJ,ITM
JJP,AKJ,AKJNRT,AKJNRT,NRT
JJP,AKJ,NRT,AKJNRT,NRT
JJP,AKJ,NRTAKJ,NRTAKJ,NRT
JJP,AKJ,成田,AKJNRT,NRT
JJP,AKJ,東京（成田）,AKJNRT,NRT
KAL,AKJ,AKJICN,AKJICN,ICN
KAL,AKJ,ICNAKJ,ICNAKJ,ICN
KAL,AKJ,ICN,ICNAKJ,ICN
KAL,AKJ,仁川,ICNAKJ,ICN
TTW,AKJ,AKJTPE,AKJTPE,TPE
TTW,AKJ,TPEAKJ,TPEAKJ,TPE
TTW,AKJ,TPE,TPEAKJ,TPE
TTW,AKJ,台北,TPEAKJ,TPE
TTW,AKJ,AKJPVG,AKJPVG,PVG
TTW,AKJ,PVG,PVGAKJ,PVG
TTW,AKJ,PVGAKJ,PVGAKJ,PVG
TTW,AKJ,上海,PVGAKJ,PVG
AAR,CTS,CTSICN,CTSICN,ICN
AAR,CTS,ICNCTS,ICNCTS,ICN
AAR,CTS,インチョン,ICNCTS,ICN
AAR,CTS,仁川,ICNCTS,ICN
AAR,CTS,CTSPUS,CTSPUS,PUS
AAR,CTS,PUSCTS,PUSCTS,PUS
AAR,CTS,プサン,PUSCTS,PUS
AAR,CTS,釜山,PUSCTS,PUS
ABL,CTS,CTSICN,CTSICN,ICN
ABL,CTS,ICNCTS,ICNCTS,ICN
ABL,CTS,インチョン,ICNCTS,ICN
ABL,CTS,仁川,ICNCTS,ICN
ABL,CTS,CTSPUS,CTSPUS,PUS
ABL,CTS,PUSCTS,PUSCTS,PUS
ABL,CTS,プサン,PUSCTS,PUS
ABL,CTS,釜山,CTSPUS,PUS
ABL,CTS,CTSTAE,CTSTAE,TAE
ABL,CTS,TAE,CTSTAE,TAE
ABL,CTS,TAECTS,TAECTS,TAE
ABL,CTS,大邱,CTSTAE,TAE
ADO,CTS,CTSFUK,CTSFUK,FUK
ADO,CTS,FUK,FUKCTS,FUK
ADO,CTS,FUKCTS,FUKCTS,FUK
ADO,CTS,福岡,FUKCTS,FUK
ADO,CTS,CTSHIJ,CTSHIJ,HIJ
ADO,CTS,HIJ,CTSHIJ,HIJ
ADO,CTS,HIJCTS,HIJCTS,HIJ
ADO,CTS,広島,CTSHIJ,HIJ
ADO,CTS,CTSHND,CTSHND,HND
ADO,CTS,HND,HNDCTS,HND
ADO,CTS,HNDCTS,HNDCTS,HND
ADO,CTS,羽田,HNDCTS,HND
