RouteCD,dptrAirport,ArrvAirport,RouteName,AirportOffice
ICNAKJ,ICN,AKJ,仁川,AKJ
AKJICN,AKJ,ICN,仁川,AKJ
TPEAKJ,TPE,AKJ,台北,AKJ
AKJTPE,AKJ,TPE,台北,AKJ
NGOAKJ,NGO,AKJ,中部,AKJ
AKJNGO,AKJ,NGO,中部,AKJ
HNDAKJ,HND,AKJ,東京,AKJ
AKJHND,AKJ,HND,東京,AKJ
NRTAKJ,NRT,AKJ,成田,AKJ
AKJNRT,AKJ,NRT,成田,AKJ
ITMAKJ,ITM,AKJ,大阪,AKJ
AKJITM,AKJ,ITM,大阪,AKJ
PVGAKJ,PVG,AKJ,上海,AKJ
AKJPVG,AKJ,PVG,上海,AKJ
Z99AKJ,AKJ,Z99,その他,AKJ
AKJZ99,Z99,AKJ,その他,AKJ
XMNCTS,XMN,CTS,厦門,CTS
CTSXMN,CTS,XMN,厦門,CTS
CTSHAN,CTS,HAN,ノイバイ,CTS
HANCTS,HAN,CTS,ノイバイ,CTS
CTSDAD,CTS,DAD,ダナン,CTS
DADCTS,DAD,CTS,ダナン,CTS
CTSVDO,CTS,VDO,ヴァンドン,CTS
VDOCTS,VDO,CTS,ヴァンドン,CTS
IBRCTS,IBR,CTS,茨城,CTS
CTSIBR,CTS,IBR,茨城,CTS
ICNCTS,ICN,CTS,ソウル,CTS
CTSICN,CTS,ICN,ソウル,CTS
CHNCTS,CHN,CTS,全州,CTS
CTSCHN,CTS,CHN,全州,CTS
VVOCTS,VVO,CTS,ウラジオストク,CTS
CTSVVO,CTS,VVO,ウラジオストク,CTS
ITMCTS,ITM,CTS,大阪,CTS
CTSITM,CTS,ITM,大阪,CTS
KIXCTS,KIX,CTS,関西,CTS
CTSKIX,CTS,KIX,関西,CTS
GUMCTS,GUM,CTS,グァム,CTS
CTSGUM,CTS,GUM,グァム,CTS
KULCTS,KUL,CTS,クアラルンプール,CTS
CTSKUL,CTS,KUL,クアラルンプール,CTS
CANCTS,CAN,CTS,広州,CTS
CTSCAN,CTS,CAN,広州,CTS
SKDCTS,SKD,CTS,サマルカンド,CTS
CTSSKD,CTS,SKD,サマルカンド,CTS
SYDCTS,SYD,CTS,シドニー,CTS
CTSSYD,CTS,SYD,シドニー,CTS
SINCTS,SIN,CTS,シンガポール,CTS
CTSSIN,CTS,SIN,シンガポール,CTS
CGKCTS,CGK,CTS,ジャカルタ,CTS
CTSCGK,CTS,CGK,ジャカルタ,CTS
GMPCTS,GMP,CTS,ソウル(金浦),CTS
CTSGMP,CTS,GMP,ソウル(金浦),CTS
TPECTS,TPE,CTS,台北,CTS
CTSTPE,CTS,TPE,台北,CTS
CTSTAK,CTS,TAK,その他,CTS
TAKCTS,TAK,CTS,その他,CTS
DLCCTS,DLC,CTS,大連,CTS
CTSDLC,CTS,DLC,大連,CTS
KHHCTS,KHH,CTS,高雄,CTS
CTSKHH,CTS,KHH,高雄,CTS
TASCTS,TAS,CTS,タシケント,CTS
